English_name,Scientific_name,Catalan_name,Category
Cinereous Vulture,Aegypius monachus,Voltor negre,Prop de l'amenaça
Lappet-faced Vulture,Torgos tracheliotos,Voltor orellut,Rares/Accidentals En Perill
Rüppell's Griffon,Gyps rueppelli,Voltor de Rüppell,Rares/Accidentals En perill crític
Eurasian Griffon,Gyps fulvus,Voltor comú,
Short-toed Snake-Eagle,Circaetus gallicus,Àguila marcenca,
Lesser Spotted Eagle,Clanga pomarina,Àguila pomerània,Rares/Accidentals
Greater Spotted Eagle,Clanga clanga,Àguila cridanera,Rares/Accidentals Vulnerable
Booted Eagle,Hieraaetus pennatus,Àguila calçada comuna,
Steppe Eagle,Aquila nipalensis,Àguila d'estepa,Rares/Accidentals En Perill
Spanish Eagle,Aquila adalberti,Àguila imperial ibèrica,Rares/Accidentals Vulnerable
Imperial Eagle,Aquila heliaca,Àguila imperial oriental,Rares/Accidentals Vulnerable
Golden Eagle,Aquila chrysaetos,Àguila daurada,
Bonelli's Eagle,Aquila fasciata,Àguila cuabarrada,
Eurasian Marsh-Harrier,Circus aeruginosus,Arpella comuna,
Hen Harrier,Circus cyaneus,Arpella pàl·lida comuna,
Pallid Harrier,Circus macrourus,Arpella pàl·lida russa,Rares/Accidentals Prop de l'amenaça
Montagu's Harrier,Circus pygargus,Arpella cendrosa,
Eurasian Sparrowhawk,Accipiter nisus,Esparver comú,
Northern Goshawk,Accipiter gentilis,Astor comú,
Red Kite,Milvus milvus,Milà reial,
Black Kite,Milvus migrans,Milà negre,
White-tailed Eagle,Haliaeetus albicilla,Pigarg cuablanc,
Rough-legged Hawk,Buteo lagopus,Aligot calçat,Rares/Accidentals
Common Buzzard,Buteo buteo,Aligot comú,
Long-legged Buzzard,Buteo rufinus,Aligot rogenc,Rares/Accidentals
Barn Owl,Tyto alba,Òliba comuna,
Eurasian Scops-Owl,Otus scops,Xot eurasiàtic,
Eurasian Eagle-Owl,Bubo bubo,Duc eurasiàtic,
Snowy Owl,Bubo scandiacus,Duc blanc,Rares/Accidentals Vulnerable
Northern Hawk Owl,Surnia ulula,Mussol esparverenc,Rares/Accidentals
Eurasian Pygmy-Owl,Glaucidium passerinum,Mussolet eurasiàtic,
Little Owl,Athene noctua,Mussol comú,
Tawny Owl,Strix aluco,Gamarús euroasiàtic,
Long-eared Owl,Asio otus,Mussol banyut,
Short-eared Owl,Asio flammeus,Mussol emigrant,
Boreal Owl,Aegolius funereus,Mussol pirinenc,
Eurasian Hoopoe,Upupa epops,Puput comuna,
Common Kingfisher,Alcedo atthis,Blauet comú,
Blue-cheeked Bee-eater,Merops persicus,Abellerol persa,Rares/Accidentals
European Bee-eater,Merops apiaster,Abellerol comú,
European Roller,Coracias garrulus,Gaig blau comú,
Eurasian Wryneck,Jynx torquilla,Colltort comú,
Eurasian Three-toed Woodpecker,Picoides tridactylus,Picot tridàctil,
Middle Spotted Woodpecker,Dendrocoptes medius,Picot garser mitjà,
White-backed Woodpecker,Dendrocopos leucotos,Picot garser dorsblanc,
Great Spotted Woodpecker,Dendrocopos major,Picot garser gros,
Lesser Spotted Woodpecker,Dryobates minor,Picot garser petit,
Gray-headed Woodpecker,Picus canus,Picot cendrós,
Eurasian Green Woodpecker,Picus viridis,Picot verd comú,
Iberian Green Woodpecker,Picus sharpei,Picot verd ibèric,
Black Woodpecker,Dryocopus martius,Picot negre euroasiàtic,
Lesser Kestrel,Falco naumanni,Xoriguer petit,
Eurasian Kestrel,Falco tinnunculus,Xoriguer comú,
Red-footed Falcon,Falco vespertinus,Falcó cama-roig,Vulnerable
Amur Falcon,Falco amurensis,Falcó de l'Amur,Rares/Accidentals
Eleonora's Falcon,Falco eleonorae,Falcó de la reina,
Sooty Falcon,Falco concolor,Falcó fumat,Rares/Accidentals Vulnerable
Merlin,Falco columbarius,Esmerla,
Eurasian Hobby,Falco subbuteo,Falcó mostatxut europeu,
Lanner Falcon,Falco biarmicus,Falcó llaner,Rares/Accidentals
Saker Falcon,Falco cherrug,Falcó sagrat,En Perill
Gyrfalcon,Falco rusticolus,Grifó,Rares/Accidentals
Peregrine Falcon,Falco peregrinus,Falcó pelegrí,
Rose-ringed Parakeet,Psittacula krameri,Cotorra de Kramer,Espècies introduïdes
Red-eyed Vireo,Vireo olivaceus,Viri d’ullls vermells,Rares/Accidentals
Eurasian Golden Oriole,Oriolus oriolus,oriol eurasiàtic,
Red-backed Shrike,Lanius collurio,escorxador comú,
Red-tailed Shrike,Lanius phoenicuroides,,Rares/Accidentals
Isabelline Shrike,Lanius isabellinus,Capsigrany pàl·lid,
Brown Shrike,Lanius cristatus,capsigrany bru,Rares/Accidentals
Iberian Gray Shrike,Lanius meridionalis,Botxí meridional,Vulnerable
Great Gray Shrike,Lanius excubitor,Botxí septentrional,
Lesser Gray Shrike,Lanius minor,trenca,
Masked Shrike,Lanius nubicus,capsigrany emmascarat,Rares/Accidentals
Woodchat Shrike,Lanius senator,capsigrany comú,
Eurasian Jay,Garrulus glandarius,gaig eurasiàtic,
Eurasian Magpie,Pica pica,Garsa eurasiàtica,
Eurasian Nutcracker,Nucifraga caryocatactes,trencanous eurasiàtic,
Red-billed Chough,Pyrrhocorax pyrrhocorax,gralla de bec vermell,
Yellow-billed Chough,Pyrrhocorax graculus,gralla de bec groc,
Eurasian Jackdaw,Corvus monedula,gralla occidental,
Daurian Jackdaw,Corvus dauuricus,gralla oriental,Rares/Accidentals
Rook,Corvus frugilegus,graula,
Carrion Crow,Corvus corone,cornella negra,
Hooded Crow,Corvus cornix,cornella emmantellada,
Fan-tailed Raven,Corvus rhipidurus,corb cuacurt,Rares/Accidentals
Common Raven,Corvus corax,corb comú,
Coal Tit,Periparus ater,Mallerenga petita,
Crested Tit,Lophophanes cristatus,mallerenga emplomallada europea,
Marsh Tit,Poecile palustris,Mallerenga d'aigua,
Willow Tit,Poecile montanus,Mallerenga capnegra,
Eurasian Blue Tit,Cyanistes caeruleus,mallerenga blava eurasiàtica,
Azure Tit,Cyanistes cyanus,mallerenga capblanca,
Great Tit,Parus major,Mallerenga carbonera,
Eurasian Penduline-Tit,Remiz pendulinus,teixidor eurasiàtic,
Bar-tailed Lark,Ammomanes cinctura,terrerola cuabarrada,Rares/Accidentals
Horned Lark,Eremophila alpestris,alosa banyuda,
Greater Short-toed Lark,Calandrella brachydactyla,terrerola comuna,
Bimaculated Lark,Melanocorypha bimaculata,calàndria bimaculada,Rares/Accidentals
Calandra Lark,Melanocorypha calandra,calàndria comuna,
Dupont's Lark,Chersophilus duponti,alosa becuda,Rares/Accidentals Vulnerable
Wood Lark,Lullula arborea,cotoliu,
Eurasian Skylark,Alauda arvensis,alosa comuna,
Thekla's Lark,Galerida theklae,cogullada fosca,
Crested Lark,Galerida cristata,Cogullada comuna,
Bearded Reedling,Panurus biarmicus,mallerenga de bigotis,
Zitting Cisticola,Cisticola juncidis,trist,
Booted Warbler,Iduna caligata,busqueta asiàtica,Rares/Accidentals
Sykes's Warbler,Iduna rama,busqueta de Sykes,
Eastern Olivaceous Warbler,Iduna pallida,busqueta pàl·lida,Rares/Accidentals
Western Olivaceous Warbler,Iduna opaca,busqueta de Barbaria,
Melodious Warbler,Hippolais polyglotta,busqueta comuna,
Icterine Warbler,Hippolais icterina,busqueta icterina,
Aquatic Warbler,Acrocephalus paludicola,boscarla d'aigua,Vulnerable
Moustached Warbler,Acrocephalus melanopogon,boscarla mostatxuda,
Sedge Warbler,Acrocephalus schoenobaenus,boscarla dels joncs,
Paddyfield Warbler,Acrocephalus agricola,boscarla dels arrossars,Rares/Accidentals
Blyth's Reed Warbler,Acrocephalus dumetorum,boscarla dels matolls,Rares/Accidentals
Marsh Warbler,Acrocephalus palustris,boscarla menjamosquits,
Eurasian Reed Warbler,Acrocephalus scirpaceus,boscarla de canyar,
African Reed Warbler,Acrocephalus baeticatus,Boscarla de canyar meriodinal,
Great Reed Warbler,Acrocephalus arundinaceus,balquer,
Gray's Grasshopper Warbler,Helopsaltes fasciolatus,boscaler de Gray,Rares/Accidentals
Pallas's Grasshopper Warbler,Helopsaltes certhiola,boscaler de Pallas,Rares/Accidentals
Lanceolated Warbler,Locustella lanceolata,boscaler pintat petit,Rares/Accidentals
River Warbler,Locustella fluviatilis,boscaler fluvial,Rares/Accidentals
Savi's Warbler,Locustella luscinioides,boscaler comú,
Common Grasshopper-Warbler,Locustella naevia,boscaler pintat gros,
Plain Martin,Riparia paludicola,oreneta de ribera golabruna,Rares/Accidentals
Bank Swallow,Riparia riparia,oreneta de ribera comuna,
Eurasian Crag-Martin,Ptyonoprogne rupestris,roquerol eurasiàtic,
Barn Swallow,Hirundo rustica,oreneta comuna,
Red-rumped Swallow,Cecropis daurica,Oreneta cua-rogenca,
Cliff Swallow,Petrochelidon pyrrhonota,oreneta dels cingles,Rares/Accidentals
Common House-Martin,Delichon urbicum,oreneta cuablanca comuna,
Wood Warbler,Phylloscopus sibilatrix,mosquiter xiulaire,
Western Bonelli's Warbler,Phylloscopus bonelli,mosquiter pàl·lid,
Eastern Bonelli's Warbler,Phylloscopus orientalis,mosquiter oriental,Rares/Accidentals
Yellow-browed Warbler,Phylloscopus inornatus,mosquiter de doble ratlla,
Hume's Warbler,Phylloscopus humei,mosquiter de Hume,Rares/Accidentals
Pallas's Leaf Warbler,Phylloscopus proregulus,mosquiter reietó,Rares/Accidentals
Radde's Warbler,Phylloscopus schwarzi,mosquiter de Schwarz,Rares/Accidentals
Dusky Warbler,Phylloscopus fuscatus,Mosquiter fosc,Rares/Accidentals
Willow Warbler,Phylloscopus trochilus,mosquiter de passa,
Common Chiffchaff,Phylloscopus collybita,mosquiter comú,
Iberian Chiffchaff,Phylloscopus ibericus,mosquiter ibèric,
Eastern Crowned Warbler,Phylloscopus coronatus,mosquiter coronat,Rares/Accidentals
Greenish Warbler,Phylloscopus trochiloides,mosquiter verdós,Rares/Accidentals
Two-barred Warbler,Phylloscopus plumbeitarsus,mosquiter siberià,Rares/Accidentals
Arctic Warbler,Phylloscopus borealis,Mosquiter boreal,Rares/Accidentals
Cetti's Warbler,Cettia cetti,rossinyol bord comú,
Long-tailed Tit,Aegithalos caudatus,mallerenga cuallarga eurasiàtica,
Eurasian Blackcap,Sylvia atricapilla,tallarol de casquet,
Garden Warbler,Sylvia borin,tallarol gros,
Barred Warbler,Curruca nisoria,tallarol esparverenc,Rares/Accidentals
Lesser Whitethroat,Curruca curruca,Tallarol xerraire,
Western Orphean Warbler,Curruca hortensis,Tallarol enmascarat occidental,
Asian Desert Warbler,Curruca nana,Tallareta del desert,Rares/Accidentals
Tristram's Warbler,Curruca deserticola,tallareta de l'Atlas,Rares/Accidentals
Rüppell's Warbler,Curruca ruppeli,tallarol golanegre,Rares/Accidentals
Sardinian Warbler,Curruca melanocephala,tallarol capnegre,
Moltoni's Warbler,Curruca subalpina,Tallarol de garriga subalpí,
Western Subalpine Warbler,Curruca iberiae,Tallarol de garriga,
Eastern Subalpine Warbler,Curruca cantillans,Tallarol de garriga,
Greater Whitethroat,Curruca communis,tallareta comuna,
Spectacled Warbler,Curruca conspicillata,tallarol trencamates,
Marmora's Warbler,Curruca sarda,tallareta sarda,
Dartford Warbler,Curruca undata,tallareta cuallarga,Prop de l'amenaça
Red-billed Leiothrix,Leiothrix lutea,leiòtrix bec-roig,Espècies introduïdes
Goldcrest,Regulus regulus,reietó eurasiàtic,
Common Firecrest,Regulus ignicapilla,bruel eurasiàtic,
Wallcreeper,Tichodroma muraria,Pela-roques,
Eurasian Nuthatch,Sitta europaea,pica-soques eurasiàtic,
Corsican Nuthatch,Sitta whiteheadi,pica-soques de Còrsega,Endèmic Vulnerable
Eurasian Treecreeper,Certhia familiaris,raspinell pirinenc,
Short-toed Treecreeper,Certhia brachydactyla,raspinell comú,
Eurasian Wren,Troglodytes troglodytes,Cargolet comú,
White-throated Dipper,Cinclus cinclus,merla d'aigua europea,
European Starling,Sturnus vulgaris,estornell comú,
Spotless Starling,Sturnus unicolor,estornell negre,
Rosy Starling,Pastor roseus,estornell rosat,Rares/Accidentals
White's Thrush,Zoothera aurea,Griva daurada,Rares/Accidentals
Scaly Thrush,Zoothera dauma,Griva daurada,Rares/Accidentals
Veery,Catharus fuscescens,griveta canyella,Rares/Accidentals
Gray-cheeked Thrush,Catharus minimus,griveta de galtes grises,Rares/Accidentals
Swainson's Thrush,Catharus ustulatus,griveta de Swainson,Rares/Accidentals
Siberian Thrush,Geokichla sibirica,tord siberià,Rares/Accidentals
Mistle Thrush,Turdus viscivorus,griva comuna,
Song Thrush,Turdus philomelos,tord comú,
Redwing,Turdus iliacus,tord ala-roig,Prop de l'amenaça
Eurasian Blackbird,Turdus merula,Merla comuna,
Eyebrowed Thrush,Turdus obscurus,Griva americana,Rares/Accidentals
Fieldfare,Turdus pilaris,griva cerdana,
Ring Ouzel,Turdus torquatus,merla de pit blanc,
Black-throated Thrush,Turdus atrogularis,tord golanegre,Rares/Accidentals
Red-throated Thrush,Turdus ruficollis,tord gola-roig,Rares/Accidentals
Dusky Thrush,Turdus eunomus,tord d'ales rosses,Rares/Accidentals
Naumann's Thrush,Turdus naumanni,tord de Naumann,Rares/Accidentals
Spotted Flycatcher,Muscicapa striata,papamosques gris,
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,cuaenlairat comú,
European Robin,Erithacus rubecula,pit-roig,
White-throated Robin,Irania gutturalis,rossinyol persa,Rares/Accidentals
Thrush Nightingale,Luscinia luscinia,rossinyol rus,Rares/Accidentals
Common Nightingale,Luscinia megarhynchos,rossinyol comú,
Bluethroat,Luscinia svecica,cotxa blava,
Red-flanked Bluetail,Tarsiger cyanurus,Rossinyol cuablau,Rares/Accidentals
Taiga Flycatcher,Ficedula albicilla,Papamosques de taigà,Rares/Accidentals
Red-breasted Flycatcher,Ficedula parva,Papamosques menut,
Semicollared Flycatcher,Ficedula semitorquata,papamosques de mig collar,Rares/Accidentals
European Pied Flycatcher,Ficedula hypoleuca,Mastegatatxes,
Collared Flycatcher,Ficedula albicollis,papamosques de collar,
Moussier's Redstart,Phoenicurus moussieri,cotxa diademada,Rares/Accidentals
Common Redstart,Phoenicurus phoenicurus,cotxa cua-roja,
Black Redstart,Phoenicurus ochruros,cotxa fumada,
Rufous-tailed Rock-Thrush,Monticola saxatilis,merla roquera comuna,
Blue Rock-Thrush,Monticola solitarius,merla blava,
Whinchat,Saxicola rubetra,bitxac rogenc,
European Stonechat,Saxicola rubicola,bitxac comú,
Siberian Stonechat,Saxicola maurus,bitxac siberià,Rares/Accidentals
Northern Wheatear,Oenanthe oenanthe,còlit gris,
Isabelline Wheatear,Oenanthe isabellina,còlit pàl·lid,Rares/Accidentals
Desert Wheatear,Oenanthe deserti,còlit del desert,Rares/Accidentals
Western Black-eared Wheatear,Oenanthe hispanica,còlit ros,
Eastern Black-eared Wheatear,Oenanthe melanoleuca,,Rares/Accidentals
Pied Wheatear,Oenanthe pleschanka,còlit de pit negre,Rares/Accidentals
Black Wheatear,Oenanthe leucura,còlit negre,
White-crowned Wheatear,Oenanthe leucopyga,còlit tuareg,Rares/Accidentals
Kurdish Wheatear,Oenanthe xanthoprymna,còlit persa,Rares/Accidentals
Bohemian Waxwing,Bombycilla garrulus,ocell sedós comú,
Indian Silverbill,Euodice malabarica,maniquí bec de plom,Espècies introduïdes
Alpine Accentor,Prunella collaris,cercavores alpí,
Black-throated Accentor,Prunella atrogularis,cercavores golanegre,Rares/Accidentals
Dunnock,Prunella modularis,Pardal de bardissa,
House Sparrow,Passer domesticus,pardal comú,
Italian Sparrow,Passer italiae,pardal italià,Vulnerable
Spanish Sparrow,Passer hispaniolensis,pardal de passa,
Eurasian Tree Sparrow,Passer montanus,pardal xarrec,
Rock Sparrow,Petronia petronia,pardal roquer,
White-winged Snowfinch,Montifringilla nivalis,pardal d'ala blanca,
Gray Wagtail,Motacilla cinerea,cuereta torrentera,
Western Yellow Wagtail,Motacilla flava,Cuereta groga,
Eastern Yellow Wagtail,Motacilla tschutschensis,Lavandeira de Alasca,Rares/Accidentals
Citrine Wagtail,Motacilla citreola,cuereta citrina,Rares/Accidentals
White Wagtail,Motacilla alba,cuereta blanca,
Richard's Pipit,Anthus richardi,piula de Richard,
Blyth's Pipit,Anthus godlewskii,piula de Godlewski,Rares/Accidentals
Tawny Pipit,Anthus campestris,trobat,
Meadow Pipit,Anthus pratensis,titella,
Tree Pipit,Anthus trivialis,piula dels arbres,
Olive-backed Pipit,Anthus hodgsoni,piula de Hodgson,Rares/Accidentals
Pechora Pipit,Anthus gustavi,piula del Pètxora,Rares/Accidentals
Red-throated Pipit,Anthus cervinus,piula gola-roja,
Water Pipit,Anthus spinoletta,grasset de muntanya,
Rock Pipit,Anthus petrosus,grasset de costa,
American Pipit,Anthus rubescens,piula americana,Rares/Accidentals
Common Chaffinch,Fringilla coelebs,pinsà comú,
Brambling,Fringilla montifringilla,pinsà mec,
Hawfinch,Coccothraustes coccothraustes,durbec comú,
Common Rosefinch,Carpodacus erythrinus,pinsà carminat,
Pine Grosbeak,Pinicola enucleator,pinsà dels pins,Rares/Accidentals
Eurasian Bullfinch,Pyrrhula pyrrhula,pinsà borroner eurasiàtic,
Trumpeter Finch,Bucanetes githagineus,pinsà trompeter,Rares/Accidentals
European Greenfinch,Chloris chloris,verdum europeu,
Twite,Linaria flavirostris,passerell becgroc,
Eurasian Linnet,Linaria cannabina,passerell comú,
Common Redpoll,Acanthis flammea,passerell golanegre,
Lesser Redpoll,Acanthis cabaret,passerell alpí,
Hoary Redpoll,Acanthis hornemanni,passerell àrtic,Rares/Accidentals
Parrot Crossbill,Loxia pytyopsittacus,trencapinyes becgròs,Rares/Accidentals
Red Crossbill,Loxia curvirostra,Trencapinyes comú,
White-winged Crossbill,Loxia leucoptera,trencapinyes d'ala blanca,Rares/Accidentals
European Goldfinch,Carduelis carduelis,cadernera europea,
Citril Finch,Carduelis citrinella,llucareta europea,
Corsican Finch,Carduelis corsicana,llucareta corsa,
European Serin,Serinus serinus,gafarró europeu,
Eurasian Siskin,Spinus spinus,lluer eurasiàtic,
Lapland Longspur,Calcarius lapponicus,repicatalons de Lapònia,
Snow Bunting,Plectrophenax nivalis,sit blanc,
Black-headed Bunting,Emberiza melanocephala,sit capnegre,Rares/Accidentals
Red-headed Bunting,Emberiza bruniceps,sit cara-roig,Rares/Accidentals
Corn Bunting,Emberiza calandra,cruixidell,
Rock Bunting,Emberiza cia,sit negre,
Cirl Bunting,Emberiza cirlus,gratapalles,
Yellowhammer,Emberiza citrinella,verderola,
Pine Bunting,Emberiza leucocephalos,sit capblanc,Rares/Accidentals
Ortolan Bunting,Emberiza hortulana,hortolà comú,
Cretzschmar's Bunting,Emberiza caesia,hortolà cendrós,Rares/Accidentals
Pallas's Bunting,Emberiza pallasi,Sit de Pallas,Rares/Accidentals
Reed Bunting,Emberiza schoeniclus,Repicatalons comú,
Yellow-breasted Bunting,Emberiza aureola,sit caranegre,Rares/Accidentals En perill crític
Little Bunting,Emberiza pusilla,repicatalons petit,Rares/Accidentals
Rustic Bunting,Emberiza rustica,repicatalons rústic,Rares/Accidentals Vulnerable
Black-faced Bunting,Emberiza spodocephala,sit emmascarat,Rares/Accidentals
Chestnut Bunting,Emberiza rutila,sit rogenc,Rares/Accidentals
Yellow-browed Bunting,Emberiza chrysophrys,sit cellagroc,Rares/Accidentals
White-crowned Sparrow,Zonotrichia leucophrys,sit de coroneta blanca,Rares/Accidentals
White-throated Sparrow,Zonotrichia albicollis,sit gorjablanc,Rares/Accidentals
Bobolink,Dolichonyx oryzivorus,bobolinc,Rares/Accidentals
Brown-headed Cowbird,Molothrus ater,vaquer de cap bru,Rares/Accidentals
Ovenbird,Seiurus aurocapilla,bosquerola reietó,Rares/Accidentals
Northern Waterthrush,Parkesia noveboracensis,bosquerola titella septentrional,Rares/Accidentals
Black-and-white Warbler,Mniotilta varia,bosquerola zebrada,Rares/Accidentals
American Redstart,Setophaga ruticilla,bosquerola de cua carbassa,Rares/Accidentals
Northern Parula,Setophaga americana,bosquerola de pit groc,Rares/Accidentals
Blackburnian Warbler,Setophaga fusca,bosquerola de gola carbassa,Rares/Accidentals
Yellow Warbler,Setophaga petechia,bosquerola dels manglars,Rares/Accidentals
Chestnut-sided Warbler,Setophaga pensylvanica,bosquerola de flancs castanys,Rares/Accidentals
Blackpoll Warbler,Setophaga striata,bosquerola estriada,Rares/Accidentals Prop de l'amenaça
Scarlet Tanager,Piranga olivacea,piranga escarlata,
Rose-breasted Grosbeak,Pheucticus ludovicianus,cardenal de pit roig,Rares/Accidentals
