"Scientific_name","English_name"
"Turdus merula","Eurasian Blackbird"
"Hirundo rustica","Barn Swallow"
"Fringilla coelebs","Common Chaffinch"
"Columba palumbus","Common Wood-Pigeon"
"Sylvia atricapilla","Eurasian Blackcap"
"Corvus corone","Carrion Crow"
"Apus apus","Common Swift"
"Passer domesticus","House Sparrow"
"Parus major","Great Tit"
"Pica pica","Eurasian Magpie"
"Carduelis carduelis","European Goldfinch"
"Serinus serinus","European Serin"
"Milvus migrans","Black Kite"
"Luscinia megarhynchos","Common Nightingale"
"Streptopelia decaocto","Eurasian Collared-Dove"
"Erithacus rubecula","European Robin"
"Cuculus canorus","Common Cuckoo"
"Cyanistes caeruleus","Eurasian Blue Tit"
"Phoenicurus ochruros","Black Redstart"
"Delichon urbicum","Common House-Martin"
"Garrulus glandarius","Eurasian Jay"
"Gyps fulvus","Eurasian Griffon"
"Motacilla alba","White Wagtail"
"Chloris chloris","European Greenfinch"
"Anas platyrhynchos","Mallard"
"Troglodytes troglodytes","Eurasian Wren"
"Falco tinnunculus","Eurasian Kestrel"
"Sturnus vulgaris","European Starling"
"Emberiza cirlus","Cirl Bunting"
"Columba livia","Rock Pigeon"
"Buteo buteo","Common Buzzard"
"Phylloscopus bonelli","Western Bonelli's Warbler"
"Larus michahellis","Yellow-legged Gull"
"Linaria cannabina","Eurasian Linnet"
"Periparus ater","Coal Tit"
"Merops apiaster","European Bee-eater"
"Oriolus oriolus","Eurasian Golden Oriole"
"Ardea cinerea","Gray Heron"
"Certhia brachydactyla","Short-toed Treecreeper"
"Upupa epops","Eurasian Hoopoe"
"Saxicola rubicola","European Stonechat"
"Dendrocopos major","Great Spotted Woodpecker"
"Hippolais polyglotta","Melodious Warbler"
"Corvus corax","Common Raven"
"Aegithalos caudatus","Long-tailed Tit"
"Emberiza calandra","Corn Bunting"
"Regulus ignicapilla","Common Firecrest"
"Cettia cetti","Cetti's Warbler"
"Ptyonoprogne rupestris","Eurasian Crag-Martin"
"Picus viridis","Eurasian Green Woodpecker"
"Sitta europaea","Eurasian Nuthatch"
"Turdus viscivorus","Mistle Thrush"
"Egretta garzetta","Little Egret"
"Phalacrocorax carbo","Great Cormorant"
"Streptopelia turtur","European Turtle-Dove"
"Phylloscopus collybita","Common Chiffchaff"
"Fulica atra","Eurasian Coot"
"Lullula arborea","Wood Lark"
"Curruca melanocephala","Sardinian Warbler"
"Motacilla flava","Western Yellow Wagtail"
"Pyrrhocorax pyrrhocorax","Red-billed Chough"
"Galerida cristata","Crested Lark"
"Gallinula chloropus","Eurasian Moorhen"
"Curruca communis","Greater Whitethroat"
"Turdus philomelos","Song Thrush"
"Oenanthe oenanthe","Northern Wheatear"
"Lophophanes cristatus","Crested Tit"
"Milvus milvus","Red Kite"
"Petronia petronia","Rock Sparrow"
"Cisticola juncidis","Zitting Cisticola"
"Alauda arvensis","Eurasian Skylark"
"Phoenicurus phoenicurus","Common Redstart"
"Circus aeruginosus","Eurasian Marsh-Harrier"
"Circaetus gallicus","Short-toed Snake-Eagle"
"Picus sharpei","Iberian Green Woodpecker"
"Corvus monedula","Eurasian Jackdaw"
"Ciconia ciconia","White Stork"
"Hieraaetus pennatus","Booted Eagle"
"Himantopus himantopus","Black-winged Stilt"
"Sturnus unicolor","Spotless Starling"
"Curruca iberiae","Western Subalpine Warbler"
"Carduelis citrinella","Citril Finch"
"Prunella modularis","Dunnock"
"Motacilla cinerea","Gray Wagtail"
"Podiceps cristatus","Great Crested Grebe"
"Lanius senator","Woodchat Shrike"
"Anthus trivialis","Tree Pipit"
"Bubulcus ibis","Cattle Egret"
"Alectoris rufa","Red-legged Partridge"
"Acrocephalus scirpaceus","Eurasian Reed Warbler"
"Emberiza cia","Rock Bunting"
"Chroicocephalus ridibundus","Black-headed Gull"
"Actitis hypoleucos","Common Sandpiper"
"Lanius collurio","Red-backed Shrike"
"Muscicapa striata","Spotted Flycatcher"
"Ardea purpurea","Purple Heron"
"Acrocephalus arundinaceus","Great Reed Warbler"
"Pernis apivorus","European Honey-buzzard"
"Tachybaptus ruficollis","Little Grebe"
"Passer montanus","Eurasian Tree Sparrow"
"Charadrius dubius","Little Ringed Plover"
"Tadorna tadorna","Common Shelduck"
"Sterna hirundo","Common Tern"
"Emberiza citrinella","Yellowhammer"
"Saxicola rubetra","Whinchat"
"Riparia riparia","Bank Swallow"
"Apus melba","Alpine Swift"
"Falco subbuteo","Eurasian Hobby"
"Netta rufina","Red-crested Pochard"
"Pyrrhula pyrrhula","Eurasian Bullfinch"
"Coturnix coturnix","Common Quail"
"Curruca undata","Dartford Warbler"
"Recurvirostra avosetta","Pied Avocet"
"Sylvia borin","Garden Warbler"
"Poecile palustris","Marsh Tit"
"Ardea alba","Great Egret"
"Accipiter nisus","Eurasian Sparrowhawk"
"Mareca strepera","Gadwall"
"Ficedula hypoleuca","European Pied Flycatcher"
"Phylloscopus trochilus","Willow Warbler"
"Circus pygargus","Montagu's Harrier"
"Phasianus colchicus","Ring-necked Pheasant"
"Plegadis falcinellus","Glossy Ibis"
"Tringa glareola","Wood Sandpiper"
"Alcedo atthis","Common Kingfisher"
"Aythya ferina","Common Pochard"
"Melanocorypha calandra","Calandra Lark"
"Pyrrhocorax graculus","Yellow-billed Chough"
"Tringa ochropus","Green Sandpiper"
"Cinclus cinclus","White-throated Dipper"
"Spatula clypeata","Northern Shoveler"
"Tringa totanus","Common Redshank"
"Aquila chrysaetos","Golden Eagle"
"Anthus campestris","Tawny Pipit"
"Jynx torquilla","Eurasian Wryneck"
"Cygnus olor","Mute Swan"
"Vanellus vanellus","Northern Lapwing"
"Coccothraustes coccothraustes","Hawfinch"
"Anthus spinoletta","Water Pipit"
"Nycticorax nycticorax","Black-crowned Night-Heron"
"Psittacula krameri","Rose-ringed Parakeet"
"Phoenicopterus roseus","Greater Flamingo"
"Regulus regulus","Goldcrest"
"Loxia curvirostra","Red Crossbill"
"Galerida theklae","Thekla's Lark"
"Podiceps nigricollis","Eared Grebe"
"Emberiza schoeniclus","Reed Bunting"
"Ichthyaetus melanocephalus","Mediterranean Gull"
"Rallus aquaticus","Water Rail"
"Burhinus oedicnemus","Eurasian Thick-knee"
"Passer hispaniolensis","Spanish Sparrow"
"Tringa nebularia","Common Greenshank"
"Falco peregrinus","Peregrine Falcon"
"Morus bassanus","Northern Gannet"
"Falco naumanni","Lesser Kestrel"
"Aegypius monachus","Cinereous Vulture"
"Sternula albifrons","Little Tern"
"Cecropis daurica","Red-rumped Swallow"
"Columba oenas","Stock Dove"
"Chlidonias hybrida","Whiskered Tern"
"Anthus pratensis","Meadow Pipit"
"Monticola solitarius","Blue Rock-Thrush"
"Pandion haliaetus","Osprey"
"Thalasseus sandvicensis","Sandwich Tern"
"Gelochelidon nilotica","Gull-billed Tern"
"Calidris pugnax","Ruff"
"Strix aluco","Tawny Owl"
"Limosa limosa","Black-tailed Godwit"
"Phylloscopus ibericus","Iberian Chiffchaff"
"Ardeola ralloides","Squacco Heron"
"Chlidonias niger","Black Tern"
"Charadrius hiaticula","Common Ringed Plover"
"Dryocopus martius","Black Woodpecker"
"Athene noctua","Little Owl"
"Platalea leucorodia","Eurasian Spoonbill"
"Anas crecca","Green-winged Teal"
"Coracias garrulus","European Roller"
"Lanius meridionalis","Iberian Gray Shrike"
"Spatula querquedula","Garganey"
"Calidris alpina","Dunlin"
"Gallinago gallinago","Common Snipe"
"Spinus spinus","Eurasian Siskin"
"Branta canadensis","Canada Goose"
"Certhia familiaris","Eurasian Treecreeper"
"Tyto alba","Barn Owl"
"Charadrius alexandrinus","Kentish Plover"
"Numenius arquata","Eurasian Curlew"
"Larus fuscus","Lesser Black-backed Gull"
"Circus cyaneus","Hen Harrier"
"Falco columbarius","Merlin"
"Anas acuta","Northern Pintail"
"Tringa erythropus","Spotted Redshank"
"Corvus cornix","Hooded Crow"
"Calidris minuta","Little Stint"
"Mergus merganser","Common Merganser"
"Oenanthe hispanica","Western Black-eared Wheatear"
"Passer italiae","Italian Sparrow"
"Ichthyaetus audouinii","Audouin's Gull"
"Hippolais icterina","Icterine Warbler"
"Ixobrychus minutus","Little Bittern"
"Porphyrio porphyrio","Western Swamphen"
"Apus pallidus","Pallid Swift"
"Hydroprogne caspia","Caspian Tern"
"Calidris ferruginea","Curlew Sandpiper"
"Emberiza hortulana","Ortolan Bunting"
